1_Row_Opposing, 0.0000, 172, 72
1_Row_Opposing, 0.0044, 95, 72
1_Row_Opposing, 0.0092, 703, 72
1_Row_Opposing, 0.0151, 209, 72
1_Row_Opposing, 0.0203, 170, 72
1_Row_Opposing, 0.0262, 191, 72
1_Row_Opposing, 0.0316, 168, 72
1_Row_Opposing, 0.0373, 187, 72
1_Row_Opposing, 0.0425, 176, 72
1_Row_Opposing, 0.0483, 190, 72
1_Row_Opposing, 0.0536, 173, 72
1_Row_Opposing, 0.0594, 187, 72
1_Row_Opposing, 0.0647, 171, 72
1_Row_Opposing, 0.0705, 188, 72
1_Row_Opposing, 0.0759, 173, 72
1_Row_Opposing, 0.0817, 184, 72
1_Row_Opposing, 0.0870, 172, 72
1_Row_Opposing, 0.0929, 188, 72
1_Row_Opposing, 0.0983, 170, 72
1_Row_Opposing, 0.1042, 187, 72
1_Row_Opposing, 0.1095, 170, 72
1_Row_Opposing, 0.1153, 189, 72
1_Row_Opposing, 0.1205, 171, 72
1_Row_Opposing, 0.1264, 189, 72
1_Row_Opposing, 0.1317, 171, 72
1_Row_Opposing, 0.1374, 190, 72
1_Row_Opposing, 0.1427, 174, 72
1_Row_Opposing, 0.1485, 189, 72
1_Row_Opposing, 0.1538, 171, 72
1_Row_Opposing, 0.1596, 186, 72
1_Row_Opposing, 0.1649, 175, 72
1_Row_Opposing, 0.1707, 188, 72
1_Row_Opposing, 0.1760, 171, 72
1_Row_Opposing, 0.1818, 189, 72
1_Row_Opposing, 0.1872, 171, 72
1_Row_Opposing, 0.1932, 188, 72
1_Row_Opposing, 0.1983, 166, 72
1_Row_Opposing, 0.2040, 196, 72
1_Row_Opposing, 0.2093, 173, 72
1_Row_Opposing, 0.2152, 189, 72
1_Row_Opposing, 0.2205, 168, 72
1_Row_Opposing, 0.2264, 187, 72
1_Row_Opposing, 0.2317, 171, 72
1_Row_Opposing, 0.2377, 188, 72
1_Row_Opposing, 0.2428, 165, 72
1_Row_Opposing, 0.2486, 198, 72
1_Row_Opposing, 0.2539, 172, 72
1_Row_Opposing, 0.2596, 183, 72
1_Row_Opposing, 0.2649, 178, 72
1_Row_Opposing, 0.2707, 186, 72
1_Row_Opposing, 0.2760, 175, 72
1_Row_Opposing, 0.2818, 186, 72
1_Row_Opposing, 0.2871, 173, 72
1_Row_Opposing, 0.2929, 186, 72
1_Row_Opposing, 0.2982, 174, 72
1_Row_Opposing, 0.3040, 186, 72
1_Row_Opposing, 0.3094, 171, 72
1_Row_Opposing, 0.3151, 188, 72
1_Row_Opposing, 0.3205, 173, 72
1_Row_Opposing, 0.3262, 188, 72
1_Row_Opposing, 0.3316, 173, 72
1_Row_Opposing, 0.3374, 184, 72
1_Row_Opposing, 0.3428, 174, 72
1_Row_Opposing, 0.3487, 183, 72
1_Row_Opposing, 0.3540, 168, 72
1_Row_Opposing, 0.3597, 185, 72
1_Row_Opposing, 0.3649, 177, 72
