Execution time (s): 45.706626
Total clicks: 26

Mouse path (time_seconds, x, y):
2.267771, 605, 1
2.283280, 605, 1
2.298860, 605, 1
2.312455, 605, 1
2.329882, 605, 1
2.345896, 605, 1
2.361440, 605, 1
2.376961, 605, 1
2.392514, 605, 1
2.396464, 605, 1
2.397191, 605, 1
2.397235, 605, 1
2.401283, 605, 1
2.406960, 605, 1
2.412619, 605, 1
2.417952, 605, 1
2.423719, 605, 1
2.429035, 605, 1
2.434649, 605, 1
2.440194, 605, 1
2.445711, 605, 1
2.451284, 605, 1
2.456836, 605, 1
2.462404, 605, 1
2.467959, 605, 1
2.473518, 605, 1
2.479044, 605, 1
2.484626, 605, 1
2.490182, 605, 1
2.495816, 605, 1
2.501285, 605, 1
2.507384, 605, 1
2.512801, 605, 1
2.518885, 605, 1
2.523928, 605, 1
2.529437, 605, 1
2.535247, 605, 1
2.540605, 593, 0
2.546110, 588, 4
2.551703, 582, 8
2.557234, 576, 11
2.562819, 570, 16
2.568762, 563, 21
2.573847, 556, 25
2.579954, 549, 31
2.585224, 541, 37
2.590690, 533, 42
2.596058, 526, 47
2.601798, 516, 55
2.607271, 508, 60
2.612715, 501, 65
2.618693, 489, 74
2.623830, 481, 80
2.629813, 472, 87
2.635099, 464, 94
2.640525, 456, 101
2.646077, 447, 109
2.651751, 439, 117
2.657880, 430, 126
2.662786, 422, 134
2.668831, 414, 143
2.673853, 406, 150
2.680016, 398, 158
2.685268, 390, 166
2.690732, 382, 174
2.696162, 375, 181
2.701789, 366, 190
2.707755, 358, 198
2.712901, 353, 203
2.719001, 343, 214
2.723835, 336, 222
2.729907, 328, 230
2.735116, 320, 239
2.740693, 311, 248
2.746074, 305, 255
2.751797, 296, 265
2.757624, 287, 275
2.762791, 280, 282
2.768425, 273, 289
2.773848, 264, 298
2.779793, 257, 305
2.785165, 251, 310
2.790705, 243, 318
2.796164, 238, 323
2.801735, 232, 328
2.807300, 226, 333
2.812660, 220, 338
2.822042, 212, 344
2.823823, 211, 345
2.829731, 206, 349
2.835130, 202, 353
2.840634, 198, 357
2.846151, 195, 360
2.851747, 191, 364
2.857277, 189, 367
2.862751, 185, 370
2.868769, 183, 374
2.873806, 180, 377
2.879806, 178, 380
2.885111, 176, 383
2.890609, 175, 386
2.896109, 173, 388
2.901726, 172, 391
2.907713, 170, 393
2.912716, 170, 395
2.918375, 169, 397
2.923834, 169, 398
2.929426, 168, 400
2.935036, 168, 401
2.940165, 168, 401
2.946068, 168, 402
2.951281, 168, 402
2.956825, 168, 402
2.962901, 168, 403
2.967951, 168, 403
2.973497, 168, 403
2.979065, 168, 403
2.984716, 168, 403
2.990167, 168, 403
2.995729, 168, 403
3.001283, 168, 403
3.006850, 168, 403
3.012393, 168, 403
3.017947, 168, 403
3.023518, 168, 403
3.029071, 168, 403
3.034659, 168, 403
3.040164, 168, 403
3.045739, 168, 403
3.051285, 168, 403
3.056843, 168, 403
3.063048, 169, 403
3.068357, 170, 403
3.073842, 171, 403
3.079388, 172, 402
3.085026, 173, 402
3.090607, 175, 401
3.096088, 176, 400
3.101677, 178, 399
3.107218, 180, 399
3.112780, 182, 398
3.118434, 184, 397
3.123874, 186, 396
3.129400, 189, 394
3.135040, 192, 393
3.140611, 195, 391
3.146125, 198, 390
3.151693, 202, 388
3.157303, 204, 387
3.162766, 208, 385
3.168764, 211, 384
3.173820, 213, 383
3.179415, 216, 381
3.185387, 219, 380
3.190507, 221, 379
3.196070, 223, 378
3.201721, 225, 377
3.207190, 227, 376
3.212824, 229, 376
3.218620, 230, 375
3.223813, 231, 374
3.229386, 232, 374
3.235001, 233, 373
3.240505, 234, 373
3.245708, 234, 373
3.251276, 234, 373
3.256853, 234, 373
3.262398, 234, 373
3.267958, 234, 373
3.273494, 234, 373
3.279043, 234, 373
3.284606, 234, 373
3.290150, 234, 373
3.295709, 234, 373
3.301303, 234, 373
3.306831, 234, 373
3.312421, 234, 373
3.317960, 234, 373
3.323531, 234, 373
3.329054, 234, 373
3.334604, 234, 373
3.340142, 234, 373
3.345706, 234, 373
3.351278, 234, 373
3.356827, 234, 373
3.362410, 234, 373
3.367938, 234, 373
3.373614, 234, 373
3.379042, 234, 373
3.384692, 234, 373
3.390187, 234, 373
3.395734, 234, 373
3.401270, 234, 373
3.406851, 234, 373
3.412406, 234, 373
3.417974, 234, 373
3.423500, 234, 373
3.429056, 234, 373
3.434673, 234, 373
3.440189, 234, 373
3.445724, 234, 373
3.451288, 234, 373
3.456840, 234, 373
3.462405, 234, 373
3.468026, 234, 373
3.473500, 234, 373
3.479060, 234, 373
3.484607, 234, 373
3.490187, 234, 373
3.495724, 234, 373
3.501289, 234, 373
3.506831, 234, 373
3.512419, 234, 373
3.517954, 234, 373
3.523500, 234, 373
3.529092, 234, 373
3.534637, 234, 373
3.540152, 234, 373
3.545729, 234, 373
3.551272, 234, 373
3.556827, 234, 373
3.562391, 234, 373
3.567948, 234, 373
3.573491, 234, 373
3.579058, 234, 373
3.584651, 234, 373
3.590170, 234, 373
3.595715, 234, 373
3.601300, 234, 373
3.606867, 234, 373
3.612412, 234, 373
3.617956, 234, 373
3.623492, 234, 373
3.629039, 234, 373
3.634666, 234, 373
3.640203, 234, 373
3.645707, 234, 373
3.651313, 234, 373
3.656835, 234, 373
3.662392, 234, 373
3.667966, 234, 373
3.673971, 234, 372
3.679041, 234, 372
3.685160, 234, 371
3.690569, 233, 370
3.696128, 233, 369
3.701749, 232, 369
3.707187, 232, 368
3.712422, 232, 368
3.718412, 231, 368
3.723842, 231, 367
3.729037, 231, 367
3.734661, 231, 367
3.740242, 231, 367
3.746149, 231, 366
3.751724, 231, 365
3.757171, 231, 363
3.762966, 231, 361
3.768469, 231, 359
3.773870, 231, 356
3.779781, 231, 353
3.785109, 231, 350
3.790629, 231, 346
3.796165, 231, 343
3.801712, 232, 339
3.807220, 232, 336
3.812795, 232, 333
3.818381, 233, 331
3.824175, 233, 329
3.829463, 233, 327
3.835184, 233, 326
3.840934, 233, 324
3.846081, 233, 323
3.851285, 233, 323
3.857251, 233, 322
3.862912, 233, 321
3.867940, 233, 321
3.873493, 233, 321
3.879115, 233, 321
3.884638, 233, 321
3.890161, 233, 321
3.895699, 233, 321
3.901289, 233, 321
3.906839, 233, 321
3.912403, 233, 321
3.917944, 233, 321
3.923487, 233, 321
3.929062, 233, 321
3.934655, 233, 321
3.940161, 233, 321
3.945735, 233, 321
3.951246, 233, 321
3.956784, 233, 321
3.962427, 233, 321
3.984640, 233, 321
3.985558, 233, 321
3.990164, 233, 321
3.995703, 233, 321
4.001271, 233, 321
4.006826, 233, 321
4.012406, 233, 321
4.017949, 233, 321
4.023481, 233, 321
4.029053, 233, 321
4.034604, 233, 321
4.040831, 233, 321
4.046089, 233, 321
4.051470, 233, 321
4.056842, 233, 321
4.062400, 233, 321
4.067938, 233, 321
4.073493, 233, 321
4.079067, 233, 321
4.084630, 233, 321
4.090245, 233, 321
4.095769, 233, 321
4.101264, 233, 321
4.106831, 233, 321
4.112408, 233, 321
4.117942, 233, 321
4.123810, 233, 321
4.129080, 233, 321
4.134622, 233, 321
4.140179, 233, 321
4.145718, 233, 321
4.151260, 233, 321
4.156826, 233, 321
4.162409, 233, 321
4.167997, 233, 321
4.173485, 233, 321
4.179034, 233, 321
4.184781, 233, 321
4.190167, 233, 321
4.195702, 233, 321
4.201278, 233, 321
4.206823, 233, 321
4.212406, 233, 321
4.217975, 233, 321
4.223515, 233, 321
4.229034, 233, 321
4.234612, 233, 321
4.240171, 233, 321
4.245701, 233, 321
4.251290, 233, 321
4.256828, 233, 321
4.262380, 233, 321
4.268013, 233, 321
4.273489, 233, 321
4.279044, 233, 321
4.284667, 233, 321
4.290138, 233, 321
4.295710, 233, 321
4.301259, 233, 321
4.306843, 233, 321
4.312393, 233, 321
4.317916, 233, 321
4.323494, 233, 321
4.329087, 233, 321
4.334639, 233, 321
4.340184, 233, 321
4.345692, 233, 321
4.351273, 233, 321
4.356817, 233, 321
4.362385, 233, 321
4.367936, 233, 321
4.373481, 233, 321
4.379053, 233, 321
4.384607, 233, 321
4.390145, 233, 321
4.395710, 233, 321
4.401260, 233, 321
4.406821, 233, 321
4.412383, 233, 321
4.417928, 233, 321
4.423530, 233, 321
4.429057, 233, 321
4.434633, 233, 321
4.440577, 234, 321
4.446096, 235, 321
4.451784, 238, 321
4.457272, 241, 321
4.462797, 243, 322
4.468577, 245, 323
4.473843, 247, 324
4.479746, 249, 326
4.485095, 251, 327
4.490681, 252, 328
4.496093, 253, 328
4.501680, 254, 328
4.507177, 254, 329
4.512783, 255, 329
4.518398, 256, 329
4.523482, 256, 329
4.529416, 257, 329
4.534598, 257, 329
4.540142, 257, 329
4.546140, 258, 329
4.551266, 258, 329
4.556833, 258, 329
4.562379, 258, 329
4.567935, 258, 329
4.573485, 258, 329
4.579035, 258, 329
4.584601, 258, 329
4.590218, 258, 329
4.595699, 258, 329
4.601266, 258, 329
4.606816, 258, 329
4.612417, 258, 329
4.617974, 258, 329
4.623475, 258, 329
4.629029, 258, 329
4.634647, 258, 329
4.640166, 258, 329
4.645691, 258, 329
4.651264, 258, 329
4.656809, 258, 329
4.662382, 258, 329
4.668178, 258, 329
4.673495, 258, 329
4.679042, 258, 329
4.684586, 258, 329
4.690136, 258, 329
4.696188, 257, 328
4.701720, 256, 328
4.707171, 256, 327
4.712713, 255, 327
4.718478, 255, 326
4.723850, 254, 326
4.729435, 254, 325
4.735078, 253, 325
4.740531, 252, 324
4.746072, 251, 324
4.751730, 250, 323
4.756807, 250, 323
4.762787, 249, 323
4.768449, 248, 322
4.773827, 247, 322
4.779398, 246, 322
4.785005, 245, 322
4.790492, 244, 321
4.796060, 243, 321
4.801725, 242, 321
4.807159, 241, 321
4.812734, 240, 321
4.818383, 239, 321
4.823849, 238, 320
4.829023, 238, 320
4.835099, 237, 320
4.840515, 236, 320
4.846065, 235, 320
4.851290, 235, 320
4.857166, 234, 320
4.862371, 234, 320
4.867964, 234, 320
4.873463, 234, 320
4.879443, 233, 320
4.884653, 233, 320
4.890135, 233, 320
4.895683, 233, 320
4.901253, 233, 320
4.906816, 233, 320
4.912380, 233, 320
4.917970, 233, 320
4.923463, 233, 320
4.929021, 233, 320
4.934634, 233, 320
4.940159, 233, 320
4.945686, 233, 320
4.951257, 233, 320
4.957249, 233, 320
4.962421, 234, 320
4.968407, 235, 320
4.973835, 237, 319
4.979407, 240, 318
4.985070, 243, 317
4.990507, 247, 316
4.996288, 252, 315
5.001745, 256, 313
5.007190, 261, 312
5.012747, 267, 310
5.018802, 274, 308
5.023829, 279, 306
5.029722, 287, 304
5.035050, 291, 302
5.040875, 300, 300
5.046090, 307, 298
5.051699, 316, 296
5.057186, 321, 295
5.062786, 330, 292
5.068683, 339, 290
5.074012, 345, 288
5.079929, 354, 286
5.085018, 360, 284
5.090553, 370, 281
5.096032, 377, 279
5.101799, 387, 276
5.107255, 395, 274
5.112746, 406, 272
5.118746, 416, 270
5.123822, 425, 268
5.129828, 434, 267
5.134993, 443, 265
5.151665, 473, 262
5.157261, 481, 261
5.157718, 482, 260
5.162759, 491, 259
5.168947, 503, 258
5.173832, 510, 258
5.179836, 521, 257
5.185894, 532, 257
5.190895, 540, 256
5.196047, 550, 256
5.201859, 559, 256
5.207583, 570, 256
5.212774, 577, 256
5.218786, 587, 256
5.223842, 597, 256
5.229735, 607, 256
5.235079, 618, 256
5.241079, 629, 256
5.246080, 638, 257
5.251720, 648, 257
5.257183, 656, 257
5.262865, 666, 258
5.268907, 675, 258
5.273861, 683, 258
5.279399, 691, 258
5.285045, 698, 258
5.290836, 707, 258
5.296049, 713, 258
5.301682, 720, 258
5.307182, 727, 259
5.312804, 734, 259
5.318783, 741, 259
5.323838, 745, 259
5.329784, 751, 259
5.335167, 756, 259
5.340646, 761, 259
5.346043, 765, 259
5.351757, 769, 259
5.357223, 772, 259
5.362763, 775, 259
5.368370, 777, 259
5.373850, 779, 259
5.379371, 780, 259
5.384571, 780, 259
5.390158, 780, 259
5.395673, 780, 259
5.401249, 780, 259
5.406803, 780, 259
5.412350, 780, 259
5.417969, 780, 259
5.423477, 780, 259
5.429019, 780, 259
5.434668, 780, 259
5.440162, 780, 259
5.445675, 780, 259
5.451257, 780, 259
5.456839, 780, 259
5.462357, 780, 259
5.467974, 780, 259
5.473479, 780, 259
5.479018, 780, 259
5.485127, 780, 259
5.490163, 780, 259
5.495678, 780, 259
5.501244, 780, 259
5.506790, 780, 259
5.512340, 780, 259
5.517981, 780, 259
5.523995, 777, 259
5.529774, 773, 259
5.535045, 769, 259
5.540793, 764, 258
5.546220, 759, 258
5.551874, 753, 258
5.557207, 746, 258
5.562739, 740, 258
5.568750, 734, 258
5.573834, 728, 258
5.579789, 722, 258
5.585006, 717, 258
5.590837, 710, 259
5.596020, 705, 259
5.601870, 699, 260
5.607165, 694, 260
5.612793, 689, 261
5.618677, 685, 262
5.623821, 681, 262
5.629894, 676, 263
5.635080, 673, 263
5.640977, 668, 264
5.646081, 665, 264
5.651787, 660, 264
5.657216, 656, 265
5.662734, 651, 265
5.668924, 646, 265
5.673811, 642, 265
5.679745, 636, 266
5.685085, 632, 266
5.690894, 626, 266
5.696089, 622, 266
5.701746, 617, 266
5.707157, 612, 266
5.712718, 607, 267
5.718916, 601, 267
5.723816, 596, 268
5.729750, 591, 268
5.735082, 585, 268
5.740939, 578, 269
5.746082, 572, 269
5.751875, 566, 270
5.757176, 560, 270
5.762923, 553, 271
5.768952, 546, 271
5.773810, 541, 272
5.779722, 535, 272
5.785059, 531, 273
5.790885, 525, 273
5.796049, 521, 274
5.801777, 515, 274
5.807184, 511, 275
5.812725, 506, 275
5.818732, 500, 276
5.823807, 496, 276
5.829400, 492, 276
5.835772, 487, 277
5.840753, 484, 277
5.846041, 481, 277
5.851785, 478, 278
5.857148, 475, 278
5.862676, 472, 279
5.868362, 469, 279
5.873817, 466, 280
5.879888, 463, 280
5.885083, 461, 280
5.891156, 458, 281
5.896072, 456, 281
5.901706, 453, 282
5.907215, 451, 282
5.912702, 448, 283
5.918518, 446, 283
5.923855, 444, 284
5.929744, 441, 284
5.935047, 439, 284
5.940476, 438, 284
5.946037, 436, 285
5.951696, 435, 285
5.957265, 434, 285
5.962738, 433, 285
5.968380, 432, 285
